,index,Episode,Speaker,Internal,NumWords
261,261,2,Jeremy,False,5
262,262,2,Jeremy,False,14
263,263,2,Jeremy,False,6
264,264,2,Jeremy,False,8
265,265,2,Jeremy,False,8
266,266,2,Jeremy,False,7
267,267,2,Jeremy,False,3
268,268,2,Jeremy,False,7
269,269,2,Jeremy,False,1
270,270,2,Jeremy,True,17
271,271,2,Jeremy,False,1
272,272,2,Jeremy,False,5
273,273,2,Jeremy,False,2
274,274,2,Jeremy,True,4
275,275,2,Jeremy,True,7
276,276,2,Jeremy,False,3
277,277,2,Jeremy,False,35
278,278,2,Jeremy,False,1
279,279,2,Jeremy,True,2
280,280,2,Jeremy,True,5
281,281,2,Jeremy,True,14
282,282,2,Jeremy,True,5
283,283,2,Jeremy,True,1
284,284,2,Jeremy,True,2
285,285,2,Jeremy,True,4
286,286,2,Jeremy,False,7
287,287,2,Jeremy,False,12
288,288,2,Jeremy,False,16
289,289,2,Jeremy,False,1
290,290,2,Jeremy,False,3
291,291,2,Jeremy,True,4
292,292,2,Jeremy,True,5
293,293,2,Jeremy,False,6
294,294,2,Jeremy,False,7
295,295,2,Jeremy,False,13
296,296,2,Jeremy,False,8
297,297,2,Jeremy,True,2
298,298,2,Jeremy,True,7
299,299,2,Jeremy,True,4
300,300,2,Jeremy,False,6
301,301,2,Jeremy,False,3
302,302,2,Jeremy,False,2
303,303,2,Jeremy,False,3
304,304,2,Jeremy,False,14
305,305,2,Jeremy,False,5
306,306,2,Jeremy,False,5
307,307,2,Jeremy,False,5
308,308,2,Jeremy,False,6
309,309,2,Jeremy,False,10
310,310,3,Jeremy,False,1
311,311,3,Jeremy,False,11
312,312,3,Jeremy,False,20
313,313,3,Jeremy,False,13
314,314,3,Jeremy,False,3
315,315,3,Jeremy,False,1
316,316,3,Jeremy,False,3
317,317,3,Jeremy,False,15
318,318,3,Jeremy,False,7
319,319,3,Jeremy,False,17
320,320,3,Jeremy,False,9
321,321,3,Jeremy,False,10
322,322,3,Jeremy,True,5
323,323,3,Jeremy,False,5
324,324,3,Jeremy,False,10
325,325,3,Jeremy,False,3
326,326,3,Jeremy,False,8
327,327,3,Jeremy,False,8
328,328,3,Jeremy,False,11
329,329,3,Jeremy,False,9
330,330,3,Jeremy,False,1
331,331,3,Jeremy,False,2
332,332,3,Jeremy,False,2
333,333,3,Jeremy,False,16
334,334,3,Jeremy,False,9
335,335,3,Jeremy,False,7
336,336,3,Jeremy,False,8
337,337,3,Jeremy,False,7
338,338,3,Jeremy,False,3
339,339,3,Jeremy,False,2
340,340,3,Jeremy,True,5
341,341,3,Jeremy,True,13
342,342,3,Jeremy,False,8
343,343,3,Jeremy,False,15
344,344,3,Jeremy,True,3
345,345,3,Jeremy,True,5
346,346,3,Jeremy,True,7
347,347,3,Jeremy,True,3
348,348,3,Jeremy,True,5
349,349,3,Jeremy,True,2
350,350,3,Jeremy,True,7
351,351,3,Jeremy,True,7
352,352,3,Jeremy,True,4
353,353,3,Jeremy,True,6
354,354,3,Jeremy,True,3
355,355,3,Jeremy,True,1
356,356,3,Jeremy,True,3
357,357,3,Jeremy,True,1
358,358,3,Jeremy,True,6
359,359,3,Jeremy,True,4
360,360,3,Jeremy,True,6
361,361,3,Jeremy,True,7
362,362,3,Jeremy,True,4
363,363,3,Jeremy,True,3
364,364,3,Jeremy,False,5
365,365,3,Jeremy,False,9
366,366,3,Jeremy,False,1
367,367,3,Jeremy,False,5
368,368,3,Jeremy,False,5
369,369,3,Jeremy,False,18
370,370,3,Jeremy,False,8
371,371,3,Jeremy,False,6
372,372,3,Jeremy,False,4
373,373,3,Jeremy,False,6
